Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
"Vaniljyoghurt Sommarbär 2,1% 1000g Valio","36,90 kr","1kg 36,90 kr/kg",88 kcal,370 kJ,2.1 g,1.2 g,13 g,12 g,3.6 g,0.1 g,0.4 µg,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-sommarb%C3%A4r-2-1-1000g-valio/1023379
Proteinshake Jordgubb & Hallonsmak Laktosfri 500g Arla®,"28,90 kr","0.5L 57,80 kr/l",51 kcal,214 kJ,0.9 g,0.6 g,4.8 g,4.7 g,5.7 g,0.18 g,,,183 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinshake-jordgubb-hallonsmak-laktosfri-500g-arla/2129141
"Yoghurt Mini Blåbär 0,1% Laktosfri 1000g Yoggi®","37,90 kr","1kg 37,90 kr/kg",38 kcal,159 kJ,0.1 g,0.1 g,4.6 g,3.9 g,3.5 g,0.1 g,,0.88 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-bl%C3%A5b%C3%A4r-0-1-laktosfri-1000g-yoggi/2053103
Västerbottensost® 450g 33%,"142,00 kr","0.45kg 315,56 kr/kg",390 kcal,1650 kJ,33 g,21 g,0 g,0 g,24 g,1.2 g,,,680 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4sterbottensost-450g-33/1266658
Grekisk Yoghurt 0% 500g Larsa foods,"33,90 kr","0.5kg 67,80 kr/kg",58 kcal,247 kJ,0 g,0 g,4.5 g,3.5 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-0-500g-larsa-foods/2023879
Mellanmål Jordgubb 165g Mannafrutti,"16,90 kr","0.165kg 102,42 kr/kg",138 kcal,578 kJ,7.2 g,4.9 g,16 g,13 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-jordgubb-165g-mannafrutti/1023823
Smör Normalsaltat Svenskt 82% Ekologisk 250g Arla,"66,00 kr","0.25kg 264,00 kr/kg",740 kcal,3041 kJ,82 g,52 g,0.7 g,0.7 g,0.6 g,1.2 g,,,,1.9 g,20 g,724 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-normalsaltat-svenskt-82-ekologisk-250g-arla/1268171
Yoghurt Original Jordgubb & Smultron 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,350 kJ,2.1 g,1.3 g,11 g,11 g,3.3 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-jordgubb-smultron-2-1000g-yoggi/1201554
Fruktdryck Blåbär 1l Proviva,"42,90 kr","1L 42,90 kr/l",45 kcal,194 kJ,0.1 g,0 g,10.7 g,8.7 g,0.2 g,0.03 g,,,,,,,0.5 g,35 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-bl%C3%A5b%C3%A4r-1l-proviva/2038974
Smör & Raps Normalsaltat Laktosfri 70% 250g Bregott®,"47,90 kr","0.25kg 191,60 kr/kg",633 kcal,2602 kJ,70 g,29 g,0.4 g,0.4 g,0.3 g,1.2 g,,20 µg,,9 g,27 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-normalsaltat-laktosfri-70-250g-bregott/2128984
Parmigiano Reggiano 15 mån 200g ICA,"95,00 kr","0.2kg 475,00 kr/kg",392 kcal,1633 kJ,28 g,19 g,0 g,0 g,33 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/parmigiano-reggiano-15-m%C3%A5n-200g-ica/1506734
Fetaost Ekologisk 150g ICA,"37,90 kr","0.15kg 252,67 kr/kg",290 kcal,1200 kJ,24 g,18 g,0.5 g,0 g,17 g,2.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fetaost-ekologisk-150g-ica/2023418
Granatäppeldryck Drickfärdig 1l Fontana,"30,90 kr","1L 30,90 kr/l",52 kcal,220 kJ,0.5 g,0 g,11.1 g,10.8 g,0.5 g,0.01 g,,,,,,,0.5 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/granat%C3%A4ppeldryck-drickf%C3%A4rdig-1l-fontana/1329358
Halloumi 200g ICA,"37,90 kr","0.2kg 189,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halloumi-200g-ica/1401911
Protein Coffee Latte 330ml Starbucks®,"32,90 kr","0.33L 99,70 kr/l",51 kcal,215 kJ,1.1 g,0.7 g,4.1 g,3.8 g,6.1 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-coffee-latte-330ml-starbucks/2151756
"Chokladmousse Dubbel choklad 4,4% 190g Grand Dessert","11,90 kr","0.19kg 62,63 kr/kg",119 kcal,499 kJ,4.4 g,2.9 g,17 g,14 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmousse-dubbel-choklad-4-4-190g-grand-dessert/2011546
Bredbart Smör Gårdsgoda Normalsaltat 75% 500g Valio,"67,00 kr","0.5kg 134,00 kr/kg",667 kcal,2790 kJ,75 g,31 g,0.5 g,0.5 g,0.4 g,1.4 g,,20 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bredbart-sm%C3%B6r-g%C3%A5rdsgoda-normalsaltat-75-500g-valio/2135035
Gratängost riven 24% 150g Arla Köket®,"37,90 kr","0.15kg 252,67 kr/kg",333 kcal,1387 kJ,24 g,16 g,1.4 g,0 g,27 g,1.2 g,,,794 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grat%C3%A4ngost-riven-24-150g-arla-k%C3%B6ket/1499601
Pizzaost Riven 26% 150g ICA,"31,90 kr","0.15kg 212,67 kr/kg",340 kcal,1400 kJ,25 g,17 g,2 g,0.5 g,26 g,1.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzaost-riven-26-150g-ica/1383665
"Drickyoghurt Yalla Passionsfrukt Laktosfri 0,5% 350ml Yoggi®","24,90 kr","0.35L 71,14 kr/l",50 kcal,210 kJ,0.5 g,0.3 g,7.9 g,7.6 g,3.3 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickyoghurt-yalla-passionsfrukt-laktosfri-0-5-350ml-yoggi/2075579
Drickkvarg Tropisk 330ml Lindahls,"22,90 kr","0.33L 69,39 kr/l",50 kcal,220 kJ,0.8 g,1 g,3.4 g,3.1 g,6.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickkvarg-tropisk-330ml-lindahls/2057863
Fruktdryck Fruit Crush Äpple Hallon 1000ml God Morgon®,"29,90 kr","1L 29,90 kr/l",30 kcal,126 kJ,0 g,0 g,7.3 g,6.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-%C3%A4pple-hallon-1000ml-god-morgon/2141507
Kvarg Jordgubb Laktosfri 7% 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",157 kcal,660 kJ,7 g,4.1 g,16 g,15 g,7.2 g,0.09 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-jordgubb-laktosfri-7-200g-valio/2023917
"Filmjölk Svarta Vinbär 3,7% 1000g Fjällfil®","36,90 kr","1kg 36,90 kr/kg",90 kcal,360 kJ,3.7 g,2.4 g,9.1 g,8.7 g,3.1 g,0.1 g,,0.89 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-svarta-vinb%C3%A4r-3-7-1000g-fj%C3%A4llfil/2151635
Iskaffe Havre Latte Original 235ml Oatly,"26,90 kr","0.235L 114,47 kr/l",62 kcal,260 kJ,2 g,0.2 g,9.5 g,6.2 g,1.1 g,0.17 g,,,,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-havre-latte-original-235ml-oatly/2151424
Vitmögelost Chévre 170g ICA,"48,90 kr","0.17kg 287,65 kr/kg",275 kcal,1140 kJ,23 g,16 g,0 g,0 g,17 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitm%C3%B6gelost-ch%C3%A9vre-170g-ica/1528609
Babybel Plantbased 100g Mini Babybel,"35,90 kr","0.1kg 359,00 kr/kg",248 kcal,1032 kJ,18 g,16 g,21 g,0.5 g,0.5 g,1.9 g,1.5 µg,,680 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/babybel-plantbased-100g-mini-babybel/2140307
"Yoghurt Mild Blåbär 1,5% lättsockrad 1000g Arla Ko®","37,90 kr","1kg 37,90 kr/kg",65 kcal,275 kJ,1.5 g,0.9 g,8.3 g,7.9 g,3.7 g,0.08 g,,0.92 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mild-bl%C3%A5b%C3%A4r-1-5-l%C3%A4ttsockrad-1000g-arla-ko/2044892
Frukostägg Frigående L 12-p ICA,"44,90 kr","12 per frp 3,74 kr/st",140 kcal,600 kJ,10 g,2.5 g,0.5 g,0 g,12.5 g,0.36 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frukost%C3%A4gg-frig%C3%A5ende-l-12-p-ica/1203220
"Yoghurt Tropisk Laktosfri 2,2% 1000g Verum","37,90 kr","1kg 37,90 kr/kg",70 kcal,290 kJ,2.2 g,1.4 g,8.2 g,7.9 g,3.1 g,0.1 g,,0.88 µg,131 mg,,,,,13 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-tropisk-laktosfri-2-2-1000g-verum/2169038
Juice Äpple utan fruktkött 1.75l ICA,"38,90 kr","1.75L 22,23 kr/l",43 kcal,183 kJ,0 g,0 g,10 g,9.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-utan-fruktk%C3%B6tt-1-75l-ica/2065066
Havredryck Barista Nutty Vanilla osockrad Glutenfri 3% 1000ml Oddlygood®,"31,90 kr","1L 31,90 kr/l",57 kcal,237 kJ,3 g,0.3 g,6.3 g,3.5 g,1.1 g,0.08 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-nutty-vanilla-osockrad-glutenfri-3-1000ml-oddlygood/2169070
Smetana Laktosfri 42% 2dl ICA Selection,"29,90 kr","0.2L 149,50 kr/l",400 kcal,1650 kJ,42 g,28 g,2.2 g,2.2 g,2.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smetana-laktosfri-42-2dl-ica-selection/1500275
"Yoghurt Mini Samoa 0,1% 1000g Yoggi®","35,90 kr","1kg 35,90 kr/kg",36 kcal,155 kJ,0.1 g,0.1 g,4.5 g,4.2 g,3.6 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mini-samoa-0-1-1000g-yoggi/1486338
Yoghurt Madagaskar Vanilj Laktosfri 2% 1000g Yoggi®,"39,90 kr","1kg 39,90 kr/kg",72 kcal,304 kJ,2 g,1.3 g,9.6 g,8.8 g,3.4 g,0.08 g,,0.93 µg,106 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-madagaskar-vanilj-laktosfri-2-1000g-yoggi/1520716
Ingefärsshot 500ml Rynkeby,"56,00 kr","0.5L 112,00 kr/l",71 kcal,301 kJ,0.5 g,0 g,12 g,12 g,0.7 g,0 g,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ingef%C3%A4rsshot-500ml-rynkeby/1521124
Färskost Naturell 300g Philadelphia,"42,90 kr","0.3kg 143,00 kr/kg",226 kcal,933 kJ,21 g,14 g,4.3 g,4.3 g,5.4 g,0.75 g,,,,,,,0.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-naturell-300g-philadelphia/1024362
"Kvargyoghurt Vanilj 0,2% 500g Lindahls","35,90 kr","0.5kg 71,80 kr/kg",85 kcal,361 kJ,0.3 g,0.2 g,14 g,13 g,7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvargyoghurt-vanilj-0-2-500g-lindahls/1465102
Ärtdryck Osötad 1l Sproud,"26,90 kr","1L 26,90 kr/l",20 kcal,100 kJ,2 g,0.2 g,0 g,0 g,1.5 g,0.15 g,0.38 µg,1 µg,0.12 g,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtdryck-os%C3%B6tad-1l-sproud/2070050
"Chokladmjölk Familjefavoriter 0,5% 1l Arla®","27,90 kr","1L 27,90 kr/l",57 kcal,243 kJ,0.5 g,0.4 g,9.5 g,9.4 g,3.6 g,0.11 g,0.46 µg,,118 mg,,,,0.4 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-familjefavoriter-0-5-1l-arla/2118787
Mellanmål Citrusflirt 175g RisiFrutti,"16,90 kr","0.175kg 96,57 kr/kg",110 kcal,465 kJ,3.3 g,2.1 g,17 g,10 g,3 g,0.16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-citrusflirt-175g-risifrutti/2107541
"Matlagningsgrädde Laktosfri 13% 2,5dl ICA","18,90 kr","0.25L 75,60 kr/l",146 kcal,603 kJ,13 g,8.3 g,4.1 g,4.1 g,3.1 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsgr%C3%A4dde-laktosfri-13-2-5dl-ica/1407272
"Proteinkvarg Jordgubb Laktosfri 0,2% 200g Arla®","21,90 kr","0.2kg 109,50 kr/kg",72 kcal,305 kJ,0.2 g,0.1 g,6.6 g,6.3 g,10 g,0.12 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinkvarg-jordgubb-laktosfri-0-2-200g-arla/2151782
Havregrädde iMat Ekologisk 13% 1l Oatly,"44,90 kr","1L 44,90 kr/l",148 kcal,611 kJ,13 g,1.1 g,6.2 g,3 g,0.9 g,0.11 g,,,,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregr%C3%A4dde-imat-ekologisk-13-1l-oatly/1487134
"Yoghurt Körsbär 2,7% 250g Bärry","15,90 kr","0.25kg 63,60 kr/kg",90 kcal,370 kJ,2.6 g,1.6 g,13 g,13 g,3 g,0.1 g,,0.85 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-k%C3%B6rsb%C3%A4r-2-7-250g-b%C3%A4rry/1431615
Måltidsdryck Päron 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-p%C3%A4ron-2dl-ica/1514880
"Vaniljyoghurt Laktosfri 2,1% 1l Valio","40,90 kr","1kg 40,90 kr/kg",71 kcal,297 kJ,2.1 g,1.2 g,8.8 g,8.3 g,3.5 g,0.09 g,,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-laktosfri-2-1-1l-valio/1363400
Ostkaka 300g Frödinge,"43,90 kr","0.3kg 146,33 kr/kg",170 kcal,700 kJ,7 g,4 g,16 g,10 g,10 g,0.12 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostkaka-300g-fr%C3%B6dinge/1023634
Edamerost skivad 24 % 400g ICA Basic,"64,00 kr","0.4kg 160,00 kr/kg",309 kcal,1283 kJ,23 g,16 g,0.5 g,0.5 g,26 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/edamerost-skivad-24-400g-ica-basic/1411143
"Filmjölk Jordgubb 2,7% 1000g Arla Ko®","29,90 kr","1kg 29,90 kr/kg",73 kcal,307 kJ,2.7 g,1.7 g,8.4 g,8.2 g,3.1 g,0.08 g,,0.92 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-jordgubb-2-7-1000g-arla-ko/1447266
"Kefir Skogsbär Laktosfri 2,1% 1000g Valio","37,90 kr","1kg 37,90 kr/kg",65 kcal,273 kJ,2.1 g,1.3 g,7.6 g,7.1 g,3.3 g,0.14 g,,1 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kefir-skogsb%C3%A4r-laktosfri-2-1-1000g-valio/2129104
"Yoghurt Grekisk Mango Laktosfri 4,8% 150g Valio","15,90 kr","0.15kg 106,00 kr/kg",117 kcal,492 kJ,4.8 g,2.8 g,13 g,12 g,4.9 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-grekisk-mango-laktosfri-4-8-150g-valio/2151773
"Yoghurt Mango & Vanilj Slät Laktosfri 2,1% 1l Valio","40,90 kr","1kg 40,90 kr/kg",72 kcal,304 kJ,2.1 g,1.2 g,9.1 g,8.7 g,3.6 g,0.09 g,,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mango-vanilj-sl%C3%A4t-laktosfri-2-1-1l-valio/1377819
Vaniljyoghurt mild 2% 1000g Arla Ko®,"29,90 kr","1kg 29,90 kr/kg",70 kcal,297 kJ,2 g,1.3 g,8.5 g,8.5 g,3.9 g,0.08 g,,1 µg,119 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-mild-2-1000g-arla-ko/2032478
Yoghurt Original Vanilj Äpple & Kanel 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,340 kJ,2 g,1.3 g,12 g,11 g,3.3 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-vanilj-%C3%A4pple-kanel-2-1000g-yoggi/1201537
"Kvarg Mild Vanilj 0,2% Laktosfri 1000g Arla®","35,00 kr","1kg 35,00 kr/kg",60 kcal,250 kJ,0.2 g,0.1 g,4 g,3.5 g,9.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-mild-vanilj-0-2-laktosfri-1000g-arla/2096736
Grevé® ost mild 28% ca 700g Arla Ko®,Ca,"Ca 0.7kg 162,00 kr/kg",358 kcal,1488 kJ,28 g,18 g,0 g,0 g,26 g,1.2 g,1.5 µg,,766 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grev%C3%A9-ost-mild-28-ca-700g-arla-ko/1265141
Spansk ostbricka tre ostar Iberico De Cabra & Manchego D.O.P. 150g ICA,"66,00 kr","0.15kg 440,00 kr/kg",417 kcal,1721 kJ,35 g,23 g,1.5 g,1.5 g,25 g,1.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spansk-ostbricka-tre-ostar-iberico-de-cabra-manchego-d-o-p-150g-ica/1499784
"Cottage Cheese Supermini 0,2% 500g KESO®","39,90 kr","0.5kg 79,80 kr/kg",70 kcal,280 kJ,0.2 g,0.1 g,3 g,2.6 g,13 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-supermini-0-2-500g-keso/1526899
Skinkost 275g Kavli,"58,00 kr","0.275kg 210,91 kr/kg",190 kcal,800 kJ,14 g,8.9 g,0 g,0 g,16 g,3.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinkost-275g-kavli/1023636
"Juice Äpple 1,75l God Morgon®","53,00 kr","1.75L 30,29 kr/l",43 kcal,183 kJ,0.5 g,0 g,10 g,9.7 g,0.5 g,0 g,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-1-75l-god-morgon/1498942
Yoghurt Original Samoa 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,340 kJ,2 g,1.3 g,12 g,11 g,3.3 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-samoa-2-1000g-yoggi/1225835
Havredryck vanilj 1l ICA,"21,90 kr","1L 21,90 kr/l",52 kcal,220 kJ,1.5 g,0.5 g,8.2 g,4.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-vanilj-1l-ica/2035618
A-fil Naturell Plus Dofilus 3% Ekologisk 1000g Arla®,"26,90 kr","1kg 26,90 kr/kg",58 kcal,245 kJ,3 g,1.9 g,3.7 g,3.7 g,3.5 g,0.09 g,,1 µg,122 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/a-fil-naturell-plus-dofilus-3-ekologisk-1000g-arla/2018466
"Dessertkvarg Kesella® Vanilj 7,5% 250g Dreamy Dessert","24,90 kr","0.25kg 99,60 kr/kg",150 kcal,650 kJ,7.5 g,5.2 g,13 g,12 g,7.3 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dessertkvarg-kesella-vanilj-7-5-250g-dreamy-dessert/2092207
Havredryck Naturell 1l ICA,"19,90 kr","1L 19,90 kr/l",48 kcal,203 kJ,1.5 g,0.2 g,7.2 g,3.5 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1l-ica/2035617
Danablu Blåmögelost 29% 125g Castello®,"40,90 kr","0.125kg 327,20 kr/kg",341 kcal,1415 kJ,29 g,18 g,0.5 g,0.5 g,20 g,3.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/danablu-bl%C3%A5m%C3%B6gelost-29-125g-castello/1421787
A-fil Naturell 3% 1000g ICA,"20,90 kr","1kg 20,90 kr/kg",60 kcal,260 kJ,3 g,2 g,4 g,4 g,3.6 g,0.1 g,,1 µg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/a-fil-naturell-3-1000g-ica/1528073
"Vaniljyoghurt Mild Laktosfri 2,6% 1000g Arla Ko®","36,90 kr","1kg 36,90 kr/kg",69 kcal,292 kJ,2.6 g,1.7 g,7.3 g,6.8 g,3.5 g,0.08 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-mild-laktosfri-2-6-1000g-arla-ko/2141627
"Mellanmjölkdryck 1,5% Ekologisk Laktosfri 1l Arla Ko®","30,90 kr","1L 30,90 kr/l",37 kcal,154 kJ,1.5 g,1 g,2.4 g,2.4 g,3.4 g,0.08 g,0.4 µg,1 µg,112 mg,,,,,,0.13 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lkdryck-1-5-ekologisk-laktosfri-1l-arla-ko/1408353
"Mellanmjölk Lite längre hållbarhet 1,5% 1,5l ICA","24,90 kr","1.5L 16,60 kr/l",47 kcal,195 kJ,1.5 g,1 g,4.7 g,4.7 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,22 µg,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lk-lite-l%C3%A4ngre-h%C3%A5llbarhet-1-5-1-5l-ica/1520842
Tacoost Riven 150g ICA,"31,90 kr","0.15kg 212,67 kr/kg",340 kcal,1450 kJ,27 g,19 g,1.9 g,0 g,24 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tacoost-riven-150g-ica/1383660
Yoghurt Original Samoa 2% Laktosfri 1000g Yoggi®,"39,90 kr","1kg 39,90 kr/kg",78 kcal,328 kJ,2 g,1.3 g,11 g,10 g,3.4 g,0.08 g,,0.93 µg,110 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-samoa-2-laktosfri-1000g-yoggi/1421789
Gran biraghi Finriven ost 50g Biraghi,"20,90 kr","0.05kg 418,00 kr/kg",418 kcal,1739 kJ,30 g,21 g,0 g,0 g,37 g,1.8 g,,,,,,,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gran-biraghi-finriven-ost-50g-biraghi/1023405
