Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin B6,Folsyra,Niacin,Jod,Järn,Tiamin,Varav fleromättat fett,Varav enkelomättat fett,Magnesium,Zink,Fosfor,Natrium,Riboflavin,Kalcium,Kalium,url
Surdegskex Utvalda med Havssalt 100g Göteborgs,"37,90 kr","0.1kg 379,00 kr/kg",460 kcal,1950 kJ,18 g,2.4 g,67 g,3 g,7 g,3 g,3.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/surdegskex-utvalda-med-havssalt-100g-g%C3%B6teborgs/1478805
Punschrulle 6-p 240g Delicato,"35,90 kr","0.24kg 149,58 kr/kg",450 kcal,1800 kJ,20 g,8 g,59 g,37 g,5 g,0.2 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/punschrulle-6-p-240g-delicato/1416856
Balder 110 g Bonjour,"12,90 kr","0.11kg 117,27 kr/kg",248 kcal,1053 kJ,0.9 g,0.1 g,51 g,1 g,7.6 g,1.5 g,2.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/balder-110-g-bonjour/2140820
Donut med choklad glasyr 240g Prosweet,"33,90 kr","0.24kg 141,25 kr/kg",442 kcal,1847 kJ,23 g,12 g,53 g,30 g,5 g,0.7 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-med-choklad-glasyr-240g-prosweet/2138507
Croissants 6-p 240g Danerolles,"31,90 kr","0.24kg 132,92 kr/kg",324 kcal,1355 kJ,15 g,7.4 g,36 g,6.3 g,8.4 g,2 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/croissants-6-p-240g-danerolles/1450012
Apelsinpepparkakor 300g Annas,"30,90 kr","0.3kg 103,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinpepparkakor-300g-annas/1007511
Lingongrova Special 500g Pågen,"39,90 kr","0.5kg 79,80 kr/kg",279 kcal,1178 kJ,4.6 g,0.6 g,46 g,5 g,11 g,1 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingongrova-special-500g-p%C3%A5gen/1402685
Knäckebröd Din Stund Chia & Havssalt 260g Wasa,"44,90 kr","0.26kg 172,69 kr/kg",350 kcal,1472 kJ,4 g,0.5 g,58 g,0.2 g,10 g,1.2 g,21 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-din-stund-chia-havssalt-260g-wasa/2015952
Majskakor Popcor 125g ICA,"22,90 kr","0.125kg 183,20 kr/kg",452 kcal,1901 kJ,15 g,1.2 g,73 g,1.5 g,5.4 g,1.8 g,1.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskakor-popcor-125g-ica/2136001
Dadelbollar choklad 90g Lazaridis,"35,90 kr","0.09kg 398,89 kr/kg",1501 kcal,359 kJ,13.6 g,10.8 g,49.1 g,42.5 g,5.2 g,0.15 g,5.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadelbollar-choklad-90g-lazaridis/2101102
Knäckebröd 100 Frön & Havssalt 245g Wasa,"29,90 kr","0.245kg 122,04 kr/kg",348 kcal,1461 kJ,5 g,0.7 g,54 g,1 g,11 g,1.2 g,21 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-100-fr%C3%B6n-havssalt-245g-wasa/2039372
Digestive doppade i mörk choklad 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",499 kcal,2090 kJ,24 g,13 g,63 g,27 g,6 g,0.54 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-doppade-i-m%C3%B6rk-choklad-300g-ica/2091070
Tuc Paprika 100g Lu,"17,90 kr","0.1kg 179,00 kr/kg",494 kcal,2071 kJ,23 g,10 g,63 g,4.3 g,8 g,2 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuc-paprika-100g-lu/1131765
Kebabrullebröd 6-p 510g Schysst käk,"36,90 kr","0.51kg 72,35 kr/kg",313 kcal,1319 kJ,7.4 g,1.4 g,54 g,3.4 g,7.8 g,1.6 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabrullebr%C3%B6d-6-p-510g-schysst-k%C3%A4k/2091923
Knäckebröd Falu Råg-Rut Chia & Havssalt 235g Wasa,"31,90 kr","0.235kg 135,74 kr/kg",343 kcal,1444 kJ,3 g,0.4 g,59 g,1 g,10 g,1.2 g,20 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-falu-r%C3%A5g-rut-chia-havssalt-235g-wasa/2053313
Havrekakor Sockerfri 160g Gille,"30,90 kr","0.16kg 193,13 kr/kg",467 kcal,2024 kJ,32.8 g,15.6 g,50 g,0.2 g,4.7 g,1.12 g,7.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havrekakor-sockerfri-160g-gille/1342350
Fullkornsskorpor 350g ICA Gott Liv,"36,90 kr","0.35kg 105,43 kr/kg",380 kcal,1600 kJ,7 g,1 g,64 g,0.8 g,13 g,1.1 g,9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fullkornsskorpor-350g-ica-gott-liv/1385047
Knäckebröd Frukost 480g Wasa,"36,90 kr","0.48kg 76,87 kr/kg",405 kcal,1707 kJ,9 g,1 g,66 g,3.5 g,12 g,1.1 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-frukost-480g-wasa/1003014
Pizzabotten 2-p 360g 360g ICA,"43,90 kr","0.36kg 121,94 kr/kg",300 kcal,1250 kJ,6.6 g,1 g,49 g,2 g,9.5 g,1.2 g,2.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzabotten-2-p-360g-360g-ica/2022199
Tårtbotten Klassisk 24cm 3-delad 330g ICA,"36,90 kr","0.33kg 111,82 kr/kg",300 kcal,1273 kJ,2.8 g,1.2 g,62 g,32 g,5.3 g,1.2 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/t%C3%A5rtbotten-klassisk-24cm-3-delad-330g-ica/1384791
Ciabatta Glutenfri 200g Schär,"55,00 kr","0.2kg 275,00 kr/kg",230 kcal,969 kJ,3.3 g,0.6 g,42 g,3.9 g,4.6 g,1.2 g,6.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ciabatta-glutenfri-200g-sch%C3%A4r/1334741
Surdegsbröd Vete Norrlands Leväjn 440g Polarbröd,"42,90 kr","0.44kg 97,50 kr/kg",260 kcal,1050 kJ,2.7 g,0.4 g,47 g,4.1 g,8.4 g,1.3 g,2.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/surdegsbr%C3%B6d-vete-norrlands-lev%C3%A4jn-440g-polarbr%C3%B6d/2151046
Krutonger Naturella 120g Zeta,"36,90 kr","0.12kg 307,50 kr/kg",440 kcal,1854 kJ,13 g,2 g,68 g,3.6 g,11 g,1.7 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/krutonger-naturella-120g-zeta/1008412
Kakor Chocolate Chip 270g Wasa,"32,90 kr","0.27kg 121,85 kr/kg",454 kcal,1903 kJ,18.3 g,3.2 g,56.3 g,15.2 g,11 g,0.6 g,10.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-chocolate-chip-270g-wasa/2075515
Crackers Fröknäcke Havssalt 120g ICA,"39,90 kr","0.12kg 332,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crackers-fr%C3%B6kn%C3%A4cke-havssalt-120g-ica/2051842
Digestive 400g ICA,"17,90 kr","0.4kg 44,75 kr/kg",479 kcal,2008 kJ,20 g,1.8 g,66 g,19 g,6.3 g,1.2 g,3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-400g-ica/1026236
Kakor Mjölkchoklad 205g Ballerina,"27,90 kr","0.205kg 136,10 kr/kg",494 kcal,2070 kJ,24 g,18 g,63 g,33 g,6.1 g,0.6 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-mj%C3%B6lkchoklad-205g-ballerina/2053297
Knäckebröd Runda Sesam & Havssalt 290g Wasa,"33,90 kr","0.29kg 116,90 kr/kg",409 kcal,1721 kJ,11 g,1.2 g,62 g,2 g,12 g,1.2 g,7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-runda-sesam-havssalt-290g-wasa/1465357
Croissant 55g Dafgård,"14,90 kr","0.055kg 270,91 kr/kg",340 kcal,1426 kJ,16 g,9.7 g,42 g,6.2 g,6.8 g,1.1 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/croissant-55g-dafg%C3%A5rd/2129202
Drömrulltårta 370g ICA,"38,90 kr","0.37kg 105,14 kr/kg",440 kcal,1800 kJ,28 g,13 g,42 g,29 g,3.3 g,0.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dr%C3%B6mrullt%C3%A5rta-370g-ica/1361683
Maple Pecan 85g Schulstad Bakery Solutions,"14,90 kr","0.085kg 175,29 kr/kg",400 kcal,1668 kJ,25 g,9.2 g,38 g,16 g,5.1 g,0.28 g,1.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/maple-pecan-85g-schulstad-bakery-solutions/1377521
Crostini Vitlök & persilja 120g Zeta,"35,90 kr","0.12kg 299,17 kr/kg",451 kcal,1894 kJ,16 g,2.5 g,65 g,3.5 g,11 g,2.2 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crostini-vitl%C3%B6k-persilja-120g-zeta/1008310
Blåbärspaj Fryst 400g Frödinge,"43,90 kr","0.4kg 109,75 kr/kg",275 kcal,1150 kJ,10 g,5.5 g,43 g,20 g,3.5 g,0.3 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4rspaj-fryst-400g-fr%C3%B6dinge/1388407
Digestive Fullkorn 400g ICA,"17,90 kr","0.4kg 44,75 kr/kg",459 kcal,1925 kJ,18 g,1.6 g,65 g,19 g,7 g,1.2 g,5.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-fullkorn-400g-ica/2091246
Riskakor med smak av Gräddfil & lök 125g Friggs,"28,90 kr","0.125kg 231,20 kr/kg",440 kcal,1850 kJ,15 g,1.8 g,66 g,3.2 g,8.2 g,1.3 g,3.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-med-smak-av-gr%C3%A4ddfil-l%C3%B6k-125g-friggs/1007927
Smörgåsrån Vet. Göteborgs,"20,90 kr","0.17kg 122,94 kr/kg",408 kcal,1726 kJ,4.6 g,2.5 g,80 g,0.9 g,10 g,0.9 g,3.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6rg%C3%A5sr%C3%A5n-vet-g%C3%B6teborgs/1004722
Skogaholmslimpa skivad 775g Skogaholms,"37,90 kr","0.775kg 48,90 kr/kg",280 kcal,1150 kJ,3.8 g,0.5 g,51 g,9.8 g,7.3 g,0.7 g,4.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skogaholmslimpa-skivad-775g-skogaholms/1024401
Variant Smörgåskex 215g Göteborgs,"54,00 kr","0.215kg 251,16 kr/kg",430 kcal,1800 kJ,13 g,1.7 g,68 g,15 g,8.6 g,1.9 g,5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/variant-sm%C3%B6rg%C3%A5skex-215g-g%C3%B6teborgs/1004961
Kanelbullar Fryst 12-p 420g Findus,"48,90 kr","0.42kg 116,43 kr/kg",368 kcal,1551 kJ,11 g,2 g,60 g,24 g,6 g,0.25 g,2.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kanelbullar-fryst-12-p-420g-findus/2018357
Sandwich Chives 37g Wasa,"11,90 kr","0.037kg 321,62 kr/kg",451 kcal,1885 kJ,21 g,7.5 g,49.5 g,3 g,10 g,1.13 g,12 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-chives-37g-wasa/1335436
Mini rut Normalgräddat 200g Leksands Knäckebröd,"20,90 kr","0.2kg 104,50 kr/kg",350 kcal,1400 kJ,1.6 g,0.3 g,60 g,0.5 g,8.9 g,1.2 g,20 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mini-rut-normalgr%C3%A4ddat-200g-leksands-kn%C3%A4ckebr%C3%B6d/1008093
LantGoda Surdegsbröd 650g Pågen,"46,90 kr","0.65kg 72,15 kr/kg",251 kcal,1061 kJ,3.1 g,0.5 g,43 g,4.1 g,10 g,1 g,5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantgoda-surdegsbr%C3%B6d-650g-p%C3%A5gen/2016069
Rosmarinknäcke med Salt Glutenfri 230g Semper,"40,90 kr","0.23kg 177,83 kr/kg",374 kcal,1580 kJ,3.5 g,0.5 g,78 g,5 g,4.5 g,2.3 g,6 g,0.22 mg,40 µg,2.4 mg,22.5 µg,4 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rosmarinkn%C3%A4cke-med-salt-glutenfri-230g-semper/1433260
Oat & carrot rolls Glutenfri Fryst 400g Elovena,"44,90 kr","0.4kg 112,25 kr/kg",237 kcal,991 kJ,7.4 g,0.9 g,35 g,3.6 g,4.3 g,1.1 g,6.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oat-carrot-rolls-glutenfri-fryst-400g-elovena/1413263
Delicatoboll utan tillsatt socker 6-p 240g Delicato,"33,90 kr","0.24kg 141,25 kr/kg",440 kcal,1850 kJ,31 g,17 g,46 g,0.8 g,4.8 g,0.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delicatoboll-utan-tillsatt-socker-6-p-240g-delicato/1526750
Knäckebröd Din Stund Mini Chia & Havssalt 270g Wasa,"44,90 kr","0.27kg 166,30 kr/kg",346 kcal,1454 kJ,3.6 g,0.5 g,57.3 g,0.2 g,10.5 g,1.25 g,21 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-din-stund-mini-chia-havssalt-270g-wasa/2080288
Digestive doppade i mjölkchoklad 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",498 kcal,2085 kJ,24 g,13 g,63 g,28 g,6.3 g,0.62 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-doppade-i-mj%C3%B6lkchoklad-300g-ica/2091069
Knäckebröd Naturell glutenfri 240g Wasa,"36,90 kr","0.24kg 153,75 kr/kg",395 kcal,1663 kJ,8 g,1.2 g,72.8 g,3.1 g,4 g,1.1 g,7.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-naturell-glutenfri-240g-wasa/2005899
Knäckebröd Havre 300g Wasa,"33,90 kr","0.3kg 113,00 kr/kg",366 kcal,1546 kJ,5 g,1 g,64 g,0.5 g,12 g,1.2 g,10 g,,,,,3.3 mg,,,,90 mg,2.5 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-havre-300g-wasa/2107005
Pepparkakor Orginal Glutenfri 150g Semper,"28,90 kr","0.15kg 192,67 kr/kg",475 kcal,1995 kJ,18 g,14 g,73 g,18 g,4.3 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparkakor-orginal-glutenfri-150g-semper/1005678
Kakor Chocolate & Hazelnut 136g Maryland,"19,90 kr","0.136kg 146,32 kr/kg",507 kcal,2123 kJ,25.2 g,11.8 g,62.9 g,33.5 g,5.7 g,0.57 g,3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-chocolate-hazelnut-136g-maryland/2039480
Spritsade kakor 400g ICA Basic,"25,90 kr","0.4kg 64,75 kr/kg",550 kcal,2250 kJ,31 g,16 g,58 g,22 g,5 g,0.6 g,1.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spritsade-kakor-400g-ica-basic/1418222
Syltkakor 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",511 kcal,2134 kJ,29 g,13 g,57 g,22 g,5.4 g,0.48 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/syltkakor-300g-ica/2022175
Maamoul Tamer 70g Liba Bröd,"11,90 kr","0.07kg 170,00 kr/kg",370 kcal,1550 kJ,12 g,4 g,59 g,38 g,4.3 g,0.2 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/maamoul-tamer-70g-liba-br%C3%B6d/2128029
Schwarzwaldtårta Fryst 400g Frödinge,"83,00 kr","0.4kg 207,50 kr/kg",364 kcal,1525 kJ,24 g,15 g,35 g,34 g,2.3 g,0.14 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schwarzwaldt%C3%A5rta-fryst-400g-fr%C3%B6dinge/1006412
Vetekaka 900g ICA,"38,90 kr","0.9kg 43,22 kr/kg",287 kcal,1213 kJ,6.3 g,0.8 g,48 g,6.3 g,8.3 g,0.6 g,2.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vetekaka-900g-ica/2106322
Lantknäcke Glutenfri 230g Semper,"37,90 kr","0.23kg 164,78 kr/kg",346 kcal,1484 kJ,0.5 g,0.2 g,77 g,4 g,3.3 g,1.2 g,10 g,0.22 mg,40 µg,2.4 mg,22.5 µg,5.8 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantkn%C3%A4cke-glutenfri-230g-semper/1335443
Kakor Dark Chocolate 230g Wasa,"32,90 kr","0.23kg 143,04 kr/kg",457 kcal,1913 kJ,19 g,3.6 g,59 g,29 g,9 g,0.32 g,9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-dark-chocolate-230g-wasa/2085252
Cookies choklad 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",497 kcal,2077 kJ,25 g,14 g,60 g,36 g,5.4 g,0.67 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-choklad-150g-ica/2101087
Liten Sirapslimpa 600g ICA Selection,"32,90 kr","0.6kg 54,83 kr/kg",249 kcal,1053 kJ,2.4 g,1 g,48 g,10 g,7 g,0.92 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/liten-sirapslimpa-600g-ica-selection/2116319
Pärlboll 58g Delicato,"9,90 kr","0.058kg 170,69 kr/kg",480 kcal,2000 kJ,27 g,14 g,54 g,38 g,5 g,0.4 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4rlboll-58g-delicato/1023898
Superbröd Tranbär 350g Da Carla,"44,90 kr","0.35kg 128,29 kr/kg",356 kcal,1474 kJ,25.8 g,2.5 g,16.5 g,2.4 g,8.8 g,0.88 g,11.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/superbr%C3%B6d-tranb%C3%A4r-350g-da-carla/2100610
Havredigestive Glutenfri 150g Semper,"29,90 kr","0.15kg 199,33 kr/kg",479 kcal,2008 kJ,20 g,15 g,68 g,11 g,5.1 g,1.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredigestive-glutenfri-150g-semper/1330637
