Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Kycklingfilé Fryst 1kg Kronfågel,"121,00 kr","1kg 121,00 kr/kg",90 kcal,400 kJ,1.5 g,0.5 g,0.5 g,0.5 g,,19 g,0.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingfil%C3%A9-fryst-1kg-kronf%C3%A5gel/1209917
Kycklingkebab 600g ICA Basic,"72,00 kr","0.6kg 120,00 kr/kg",140 kcal,600 kJ,5 g,1.2 g,4.9 g,0 g,,18 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingkebab-600g-ica-basic/2076266
Kebabpizza 500g Tony´s pizza,"72,00 kr","0.5kg 144,00 kr/kg",259 kcal,1080 kJ,8.8 g,4.5 g,32.2 g,3.3 g,1.79 g,11.6 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabpizza-500g-tony-s-pizza/2108384
Grekisk färsbiff 380g Dafgårds,"41,90 kr","0.38kg 110,26 kr/kg",141 kcal,590 kJ,6.3 g,2.6 g,15 g,1.5 g,1.4 g,4.7 g,0.96 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-f%C3%A4rsbiff-380g-dafg%C3%A5rds/2154138
Vegoburgare Glutenfri Fryst 880g Anamma,"114,00 kr","0.88kg 129,55 kr/kg",162 kcal,680 kJ,10 g,0.8 g,2 g,0.4 g,5.4 g,14 g,0.88 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoburgare-glutenfri-fryst-880g-anamma/2011341
Vårrulle vegetarisk Fryst 400g ICA,"61,00 kr","0.4kg 152,50 kr/kg",240 kcal,1000 kJ,13 g,0.9 g,28 g,4.6 g,,3.6 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A5rrulle-vegetarisk-fryst-400g-ica/1499873
Krämig korvstroganoff 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",106 kcal,444 kJ,4.5 g,2.4 g,13 g,2.2 g,,3.3 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kr%C3%A4mig-korvstroganoff-380g-felix/2154603
Caramel Brownie Party 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",228 kcal,956 kJ,12 g,7.4 g,27 g,23 g,,3.5 g,0.38 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caramel-brownie-party-465ml-ben-jerrys/2094158
Glass Pirulo Watermelon 1-p Nestle,"20,90 kr",,88 kcal,372 kJ,0.5 g,0.2 g,21 g,16 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-pirulo-watermelon-1-p-nestle/2014821
Hackad spenat Fryst 600g ICA,"26,90 kr","0.6kg 44,83 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hackad-spenat-fryst-600g-ica/1008826
Gräddglass Vanilj Laktosfri 750ml Sia Glass,"47,90 kr","0.75L 63,87 kr/l",210 kcal,850 kJ,10 g,6.7 g,23 g,23 g,0.5 g,4.6 g,0.1 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-laktosfri-750ml-sia-glass/2077528
Dansk Sjömansbiff 420g Dafgårds,"51,00 kr","0.42kg 121,43 kr/kg",94 kcal,393 kJ,7.8 g,2.2 g,8.5 g,1.9 g,1.2 g,4.3 g,0.99 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dansk-sj%C3%B6mansbiff-420g-dafg%C3%A5rds/2154140
Pasta Pomodoro Ricotta 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",114 kcal,478 kJ,3.2 g,0.9 g,17 g,2.9 g,,3.8 g,0.78 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-pomodoro-ricotta-380g-felix/2143251
Sockerärtor Fryst 600g ICA,"52,00 kr","0.6kg 86,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/socker%C3%A4rtor-fryst-600g-ica/1335153
Glasspinne Exotic 90ml Solero,"27,90 kr",,108 kcal,453 kJ,2.6 g,2.1 g,19 g,13 g,,1.2 g,0.06 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-exotic-90ml-solero/2077330
Glass Bonbon Gold Billionaire 204 Milliliter Magnum,"64,00 kr","0.204L 313,73 kr/l",356 kcal,1489 kJ,20 g,12 g,39 g,33 g,0.5 g,5.2 g,0.45 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-bonbon-gold-billionaire-204-milliliter-magnum/2143315
Glasstrut Daim1-p GB Glass,"33,90 kr",,217 kcal,908 kJ,13 g,8.7 g,24 g,18 g,,2.2 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasstrut-daim1-p-gb-glass/2054697
Raggmunk Fryst 720g Kungsörnen,"71,00 kr","0.72kg 98,61 kr/kg",147 kcal,614 kJ,5.5 g,0.7 g,19 g,1.6 g,2 g,3.9 g,0.94 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/raggmunk-fryst-720g-kungs%C3%B6rnen/1338517
Chicken Panang 350g Dafgård,"51,00 kr","0.35kg 145,71 kr/kg",156 kcal,655 kJ,6.7 g,4.7 g,17 g,2.8 g,1.1 g,6.4 g,0.68 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-panang-350g-dafg%C3%A5rd/2077931
Kycklingbröstfilé 900g ICA Basic,"86,00 kr","0.9kg 95,56 kr/kg",95 kcal,400 kJ,1 g,0.3 g,0 g,0 g,,21 g,0.43 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingbr%C3%B6stfil%C3%A9-900g-ica-basic/2038613
Leifs Köttfria Köttbullar 500g Dafgård,"62,00 kr","0.5kg 124,00 kr/kg",187 kcal,783 kJ,10 g,0.8 g,10 g,2.3 g,2.7 g,13 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/leifs-k%C3%B6ttfria-k%C3%B6ttbullar-500g-dafg%C3%A5rd/2054893
Färsbiffar 340g Findus,"44,90 kr","0.34kg 132,06 kr/kg",180 kcal,750 kJ,12 g,4.9 g,12 g,1.6 g,2.6 g,4.8 g,0.73 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsbiffar-340g-findus/2108493
Gammaldags gräddglass Chokladkross 1.75L Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",220 kcal,900 kJ,13 g,9 g,23 g,22 g,,3 g,0.18 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gammaldags-gr%C3%A4ddglass-chokladkross-1-75l-triumf-glass/2101621
Pad Thai Chicken Thai Cube 300g Kitchen Joy,"52,00 kr","0.3kg 173,33 kr/kg",137 kcal,580 kJ,2.3 g,0.6 g,23 g,8.7 g,1.2 g,5.9 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pad-thai-chicken-thai-cube-300g-kitchen-joy/2142773
Små Fina Nordiska Ärtor 250g Apetit,"19,90 kr","0.25kg 79,60 kr/kg",75 kcal,310 kJ,0.8 g,0.2 g,9.5 g,5.3 g,3.1 g,5.6 g,0 g,,,,,,,0 mg,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A5-fina-nordiska-%C3%A4rtor-250g-apetit/2154804
Pasta Skinka & paprikasås Fryst 350g ICA,"48,90 kr","0.35kg 139,71 kr/kg",130 kcal,546 kJ,3.6 g,1.6 g,18 g,2.5 g,1.5 g,5.6 g,0.83 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-skinka-paprikas%C3%A5s-fryst-350g-ica/1430238
Lasagne i ugn Fryst 1kg Familjen Dafgård,"77,00 kr","1kg 77,00 kr/kg",115 kcal,483 kJ,4.9 g,2.5 g,13 g,2 g,0.8 g,4.6 g,0.92 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lasagne-i-ugn-fryst-1kg-familjen-dafg%C3%A5rd/1006295
Stora räkor med skal 70-90st/kg Fryst 500g ICA,"94,00 kr","0.5kg 188,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stora-r%C3%A4kor-med-skal-70-90st-kg-fryst-500g-ica/1026437
Farbror Arnes Kladdkaka 95ml Triumf Glass,"36,90 kr",,260 kcal,1090 kJ,14 g,8.3 g,30 g,23 g,,3.4 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/farbror-arnes-kladdkaka-95ml-triumf-glass/2055079
Köttbullar Delikatess 450g Scan,"65,00 kr","0.45kg 144,44 kr/kg",220 kcal,900 kJ,15 g,6 g,8.5 g,1.5 g,,13 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-delikatess-450g-scan/2005005
Plant-based Schnitzel 720g Hälsans Kök,"107,00 kr","0.72kg 148,61 kr/kg",222 kcal,924 kJ,12 g,1.2 g,11.8 g,0.6 g,6.2 g,13.5 g,0.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plant-based-schnitzel-720g-h%C3%A4lsans-k%C3%B6k/2101404
Sojafärs Fryst 750g ICA,"75,00 kr","0.75kg 100,00 kr/kg",186 kcal,776 kJ,9.7 g,0.6 g,7.1 g,2.3 g,5.2 g,15 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojaf%C3%A4rs-fryst-750g-ica/2038071
Vegetariska sojafiléer OVO Fryst 300g Hälsans Kök,"53,00 kr","0.3kg 176,67 kr/kg",148 kcal,623 kJ,4 g,0.5 g,9.4 g,2.7 g,5.8 g,15.8 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-sojafil%C3%A9er-ovo-fryst-300g-h%C3%A4lsans-k%C3%B6k/1330343
Big pack Vanilj 2l GB Glace,"38,90 kr","2L 19,45 kr/l",179 kcal,747 kJ,6.2 g,5.6 g,30 g,20 g,,0.6 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/big-pack-vanilj-2l-gb-glace/2094200
Vegofärs Glutenfri Fryst 1kg Anamma,"114,00 kr","1kg 114,00 kr/kg",171 kcal,715 kJ,9.5 g,0.7 g,1.8 g,0.9 g,5.5 g,17 g,0.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegof%C3%A4rs-glutenfri-fryst-1kg-anamma/2011324
Kycklingpaj 240 g Familjen Dafgård,"40,90 kr","0.24kg 170,42 kr/kg",262 kcal,1095 kJ,16 g,8 g,18 g,2.3 g,1.2 g,10 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingpaj-240-g-familjen-dafg%C3%A5rd/1521008
Panpizza Kebab Fryst 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",239 kcal,999 kJ,9.2 g,3.6 g,28 g,1.4 g,1.5 g,10 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/panpizza-kebab-fryst-170g-billys/1006722
Mandeltårta Daim Glutenfri Fryst 400g Almondy,"75,00 kr","0.4kg 187,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandelt%C3%A5rta-daim-glutenfri-fryst-400g-almondy/1008874
Basilika Finhackad Fryst 40g ICA,"14,90 kr","0.04kg 372,50 kr/kg",40 kcal,150 kJ,0.5 g,0 g,2.6 g,0.5 g,4.5 g,3.5 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/basilika-finhackad-fryst-40g-ica/1475149
Gräddglass Salt Karamell 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",200 kcal,850 kJ,10 g,6.7 g,25 g,23 g,,2.9 g,0.33 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-salt-karamell-500ml-triumf-glass/2067319
Strutglass Salty Licorice 146ml GB Glace,"33,90 kr",,325 kcal,1356 kJ,18 g,13 g,38 g,24 g,,2.7 g,0.23 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/strutglass-salty-licorice-146ml-gb-glace/2093676
Pan Pizza Capricciosa 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",233 kcal,976 kJ,8.9 g,3.6 g,27 g,1.5 g,1.6 g,10 g,0.89 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-capricciosa-170g-billys/2054952
Glass Duo Vanilj/Jordgubb 8-p Triumf Glass,"52,00 kr","8 per frp 6,50 kr/st",300 kcal,1250 kJ,19 g,14 g,29 g,25 g,,3.5 g,0.13 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-duo-vanilj-jordgubb-8-p-triumf-glass/2154443
Angusbiff 380g Dafgård,"41,90 kr","0.38kg 110,26 kr/kg",142 kcal,596 kJ,9.1 g,3.6 g,10 g,3.7 g,1.2 g,4.6 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/angusbiff-380g-dafg%C3%A5rd/2093866
Oxjärpar 400g Findus,"44,90 kr","0.4kg 112,25 kr/kg",137 kcal,574 kJ,7.3 g,1.8 g,12 g,2.9 g,1.8 g,5 g,0.91 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oxj%C3%A4rpar-400g-findus/2144454
Gräddglass Vanilj Ekologisk 750ml Sia Glass,"47,90 kr","0.75L 63,87 kr/l",240 kcal,1000 kJ,16 g,10 g,21 g,21 g,0 g,3 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-ekologisk-750ml-sia-glass/2077526
Glasspinne Mini mumsbit Mandel & choklad 12-p 420g ICA,"61,00 kr","12 per frp 5,08 kr/st",339 kcal,1413 kJ,22 g,15 g,31 g,31 g,,4 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-mini-mumsbit-mandel-choklad-12-p-420g-ica/1385138
Ostbitar Camembert bites Fryst 220g Lindströms Bites,"38,90 kr","0.22kg 176,82 kr/kg",286 kcal,1206 kJ,14 g,8 g,29 g,1 g,,12 g,2.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostbitar-camembert-bites-fryst-220g-lindstr%C3%B6ms-bites/2018373
Smördegsplattor 450g ICA,"41,90 kr","0.45kg 93,11 kr/kg",365 kcal,1524 kJ,21 g,15 g,37 g,2.2 g,2.6 g,5.7 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6rdegsplattor-450g-ica/2138907
Thai Cube Sweet chili chicken 350g Kitchen Joy,"52,00 kr","0.35kg 148,57 kr/kg",144 kcal,609 kJ,0.7 g,0.2 g,28 g,11 g,0.9 g,5.9 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-sweet-chili-chicken-350g-kitchen-joy/2050239
Extra allt kebab Minipizza Fryst 165g Grandiosa,"27,90 kr","0.165kg 169,09 kr/kg",225 kcal,941 kJ,9.3 g,3.9 g,25 g,2.2 g,,9.1 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-kebab-minipizza-fryst-165g-grandiosa/1471159
Lasagne Bolognese 375 g ICA,"36,90 kr","0.375kg 98,40 kr/kg",133 kcal,558 kJ,5.9 g,1.8 g,12 g,2.6 g,1.4 g,7.7 g,0.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lasagne-bolognese-375-g-ica/2088711
Pirog Original 140g Gorbys,"17,90 kr","0.14kg 127,86 kr/kg",261 kcal,1091 kJ,9 g,2.3 g,35 g,3.5 g,2.4 g,8.4 g,0.88 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pirog-original-140g-gorbys/2093747
Fryspizza Vego TexMex 190g Anamma,"27,90 kr","0.19kg 146,84 kr/kg",217 kcal,906 kJ,6.9 g,2.3 g,31 g,2.9 g,,6.4 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fryspizza-vego-texmex-190g-anamma/2045787
Wokmix Fryst Ekologisk 500g ICA eco,"37,90 kr","0.5kg 75,80 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wokmix-fryst-ekologisk-500g-ica-eco/1521103
Pizza Vinnande Väsuviå 320g Grandiosa,"65,00 kr","0.32kg 203,13 kr/kg",210 kcal,878 kJ,7.6 g,3.8 g,24 g,2.4 g,,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-vinnande-v%C3%A4suvi%C3%A5-320g-grandiosa/2119835
Köttbullar med mos 400g Findus,"44,90 kr","0.4kg 112,25 kr/kg",154 kcal,645 kJ,7.4 g,2.6 g,16 g,5.3 g,1.6 g,5.1 g,0.86 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-med-mos-400g-findus/2108492
Glass Cookie Dough Peaces 160ml Ben & Jerrys,"72,00 kr","0.16L 450,00 kr/l",380 kcal,1589 kJ,24 g,10 g,37 g,29 g,,4.1 g,0.35 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-cookie-dough-peaces-160ml-ben-jerrys/2143311
Västerbottensost®paj 210g Felix,"40,90 kr","0.21kg 194,76 kr/kg",296 kcal,1236 kJ,21 g,12 g,16 g,1.6 g,,11 g,0.85 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4sterbottensost-paj-210g-felix/2142916
Glass Farbror Arnes Lemon Curd 1p Triumf Glass,"36,90 kr",,320 kcal,1300 kJ,18 g,11 g,34 g,28 g,,3.8 g,0.13 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-farbror-arnes-lemon-curd-1p-triumf-glass/2130228
Pippi Krumelurglass 6-p SIA Glass,"59,00 kr","6 per frp 9,83 kr/st",230 kcal,950 kJ,13 g,8.6 g,24 g,23 g,0 g,3.8 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pippi-krumelurglass-6-p-sia-glass/2154434
Rostad Kyckling 390g Findus,"44,90 kr","0.39kg 115,13 kr/kg",117 kcal,488 kJ,4.7 g,2 g,11 g,2.1 g,2.5 g,6.3 g,0.75 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rostad-kyckling-390g-findus/2108491
Kyckling Jacob 410g Dafgård,"41,90 kr","0.41kg 102,20 kr/kg",127 kcal,531 kJ,3 g,2 g,17 g,3 g,1.3 g,5.9 g,0.98 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-jacob-410g-dafg%C3%A5rd/2093863
Glass F A Kanelbulle 1-p Triumf Glass,"36,90 kr",,350 kcal,1500 kJ,20 g,12 g,38 g,30 g,,3.8 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-f-a-kanelbulle-1-p-triumf-glass/2154463
Fryspizza Vesuvio 190g Anamma,"27,90 kr","0.19kg 146,84 kr/kg",218 kcal,913 kJ,7.3 g,2.6 g,31 g,2.4 g,,6.5 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fryspizza-vesuvio-190g-anamma/2045785
Fiskgratäng Räk & dillsås Fryst 600g Findus,"67,00 kr","0.6kg 111,67 kr/kg",108 kcal,455 kJ,3.5 g,1.2 g,12 g,1.9 g,0.7 g,6.8 g,0.93 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fiskgrat%C3%A4ng-r%C3%A4k-dills%C3%A5s-fryst-600g-findus/1006436
Köttbullar 750g ICA Basic,"56,00 kr","0.75kg 74,67 kr/kg",240 kcal,1000 kJ,17 g,7 g,11 g,1.8 g,,11 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-750g-ica-basic/2119176
Vit tonfiskfilé Fryst 280g ICA,"93,00 kr","0.28kg 332,14 kr/kg",100 kcal,430 kJ,1 g,0.5 g,0 g,0 g,,23 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vit-tonfiskfil%C3%A9-fryst-280g-ica/1473290
Haricots verts Fryst 600g ICA,"33,90 kr","0.6kg 56,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/haricots-verts-fryst-600g-ica/1008825
Glass Bonbon Salted Caramel & Almond 204 Milliliter Magnum,"64,00 kr","0.204L 313,73 kr/l",360 kcal,1505 kJ,21 g,12 g,38 g,32 g,,4.9 g,0.35 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-bonbon-salted-caramel-almond-204-milliliter-magnum/2143314
Glass Marshmallow & S'more! 427ml Ben & Jerrys,"84,00 kr","0.427L 196,72 kr/l",254 kcal,1064 kJ,12 g,8 g,32 g,25 g,,3.8 g,0.26 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-marshmallow-s-more-427ml-ben-jerrys/2130364
Glasspinne Sitting Bull 8-p Triumf Glass,"52,00 kr","8 per frp 6,50 kr/st",330 kcal,1350 kJ,19 g,8.8 g,35 g,35 g,,2.2 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-sitting-bull-8-p-triumf-glass/2086313
Chicken drumsticks BBQ Fryst 500g Guldfågeln,"51,00 kr","0.5kg 102,00 kr/kg",190 kcal,800 kJ,10 g,3.3 g,3 g,1.5 g,,21 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-drumsticks-bbq-fryst-500g-guldf%C3%A5geln/1008755
Tigerräka Råa 400g Pandalus,"183,00 kr","0.4kg 457,50 kr/kg",52 kcal,261 kJ,0.11 g,0.04 g,0 g,0 g,0 g,15.1 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tigerr%C3%A4ka-r%C3%A5a-400g-pandalus/1509196
Mexikansk tacopaj Fryst 220g Felix,"40,90 kr","0.22kg 185,91 kr/kg",344 kcal,1441 kJ,25 g,14 g,21 g,2 g,,8.7 g,0.86 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mexikansk-tacopaj-fryst-220g-felix/1453778
Fish & Chips MSC 340 G Findus,"44,90 kr","0.34kg 132,06 kr/kg",197 kcal,823 kJ,11 g,1.8 g,18 g,1.3 g,2.7 g,5.2 g,0.53 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fish-chips-msc-340-g-findus/2130217
Isbollar i påse 12p Mr Iceman,"48,90 kr","12 per frp 4,07 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/isbollar-i-p%C3%A5se-12p-mr-iceman/2154168
Extra allt Hawaii Fryst 350g Grandiosa,"60,00 kr","0.35kg 171,43 kr/kg",224 kcal,939 kJ,8.8 g,4.2 g,25 g,2.4 g,,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-hawaii-fryst-350g-grandiosa/1384077
Svenska Jordgubbar Fryst 250g ICA,"32,90 kr","0.25kg 131,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenska-jordgubbar-fryst-250g-ica/1509353
Extra allt Mexicana Fryst 350g Grandiosa,"60,00 kr","0.35kg 171,43 kr/kg",260 kcal,1087 kJ,12 g,5.8 g,24 g,1.7 g,,12 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-mexicana-fryst-350g-grandiosa/1347398
Halloumi Hotpot 370g Felix,"66,00 kr","0.37kg 178,38 kr/kg",139 kcal,583 kJ,6.2 g,5.2 g,15 g,1.4 g,2.7 g,4.6 g,0.69 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halloumi-hotpot-370g-felix/1509178
Extra allt calzone Ost & skinka Minipizza Fryst 165g Grandiosa,"27,90 kr","0.165kg 169,09 kr/kg",239 kcal,998 kJ,8.9 g,3.8 g,28 g,2.1 g,,11 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/extra-allt-calzone-ost-skinka-minipizza-fryst-165g-grandiosa/1402645
Sandwiches 8-p vegansk 320g Valsoia,"61,00 kr","8 per frp 7,63 kr/st",286 kcal,1205 kJ,7.6 g,5.2 g,49 g,21 g,1.4 g,4.7 g,0.48 g,,,1.5 µg,,,,,120 mg,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwiches-8-p-vegansk-320g-valsoia/2094494
Brysselkål Fryst 550g ICA,"28,90 kr","0.55kg 52,55 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brysselk%C3%A5l-fryst-550g-ica/1395123
Timjan & Vitlök chunk 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",117 kcal,490 kJ,3.1 g,0.3 g,1.6 g,0.9 g,5.5 g,18 g,1.5 g,,,,30.4 µg,,,,,4.3 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/timjan-vitl%C3%B6k-chunk-280g-oumph/2094011
Marsglass 6-p Mars,"69,00 kr","6 per frp 11,50 kr/st",266 kcal,1114 kJ,14 g,8.4 g,32 g,25 g,,3 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marsglass-6-p-mars/2094362
Lasagne Lax Spenat 350g ICA,"37,90 kr","0.35kg 108,29 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lasagne-lax-spenat-350g-ica/2043899
Kebab 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",138 kcal,577 kJ,5 g,0.5 g,2.1 g,1.8 g,7.1 g,17 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebab-280g-oumph/2094013
